"id","question_code","answer","comment","first_label","second_label"
"ONL105","Comparison03-BetterUnderstanding","ATMSG definitively. It clarified the fondamentals of the serious game, on the contrary LM-GM gives only some associations without defining a structure of the game.","ATMSG gives better understanding of the game, LMGM gives associations but without defining the game structure. (This is an insightful comment)","ATMSGBetterUnderstanding, LMGMMoreSuperficial","ATMSGBetterUnderstanding, LMGMMoreSuperficial"
"ONL105","LMGM-Perception","Not very much","No change in perception with LMGM","LMGMNotSoHelpful","LMGMNotSoHelpful"
"ONL105","LMGM-Suggestion","No","No suggestions for LMGM",,
"ONL104","ATMSG-Perception",,,,
"ONL104","ATMSG-Suggestion",,,,
"ONL104","Comment",,,,
"ONL104","Comparison01-EasierUnderstand","ATMSG, more information","ATMSG gives more information","ATMSGMoreInformation","ATMSGMoreDetailed"
"ONL104","Comparison02-EasierApply","LM-GM, easy to use, more quicker than analyze with ATMSG","LMGM is easier and quicker to apply","LMGMEasierToApply, LMGMQuickerToApply","LMGMEasier"
"ONL104","Comparison03-BetterUnderstanding","LM-GM, because simplier overview of LM and GM in tables","LMGM gives a simpler (more useful) overview of the game","LMGMSimplerAndMoreUseful","LMGMMoreFocused"
"ONL104","LMGM-Perception",,,,
"ONL104","LMGM-Suggestion",,,,
